"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Check upload and download","","0","0","1","0","0"
"","Tool tips","","0","0","1","0","0"
"","Check autocomplete","","0","0","1","0","0"
"","Check accordian","","0","0","1","0","0"
"","Input text box","","0","0","4","0","0"
"","Check radio button","","0","0","2","0","0"
"","Check links","","0","0","5","0","0"
"","Sortable","","0","0","1","0","0"
"","Selectable","","0","0","1","0","0"
"","Switching between windows and tabs","","0","0","1","0","0"
"","Dragabble","","0","0","1","0","0"
"","Date picker","","0","0","1","0","0"
"","Work with modal dialogs","","1","0","0","0","0"
"","Menu","","0","0","1","0","0"
"","Input check box","","0","0","2","0","0"
"","Resizable","","0","0","1","0","0"
"","Tabs","","1","0","0","0","0"
"","Slider","","0","0","1","0","0"
"","Test dynamic properties","","0","0","2","0","0"
"","Progress bar","","0","0","1","0","0"
"","Input user data","","0","1","0","0","0"
"","Droppable","","0","0","1","0","0"
"","Check buttons","","0","0","2","0","0"
"","Work with iframes","","0","0","2","0","0"
"","Input data","","0","0","2","0","0"
"","Work with alerts","","0","0","1","0","0"
"","Check upload and down","","0","1","0","0","0"
