"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 12:16:40 AZT 2024","Mon Sep 02 12:17:30 AZT 2024","50452","tests","test_check_box","TestCheckBox","","","Check box test",""
"passed","Mon Sep 02 12:14:14 AZT 2024","Mon Sep 02 12:15:44 AZT 2024","90210","tests","test_broken_links_images","TestBrokenLinksImages","","","Click links",""
"passed","Tue Sep 03 15:32:00 AZT 2024","Tue Sep 03 15:32:55 AZT 2024","55257","tyt.tests","test_radio_button","TestRadioButton","","","Check radio button",""
"passed","Mon Sep 02 12:18:27 AZT 2024","Mon Sep 02 12:19:12 AZT 2024","45434","tests","test_dynamic_properties","TestDynamicProperties","","","Check dynamic properties buttons",""
"broken","Tue Sep 03 15:32:56 AZT 2024","Tue Sep 03 15:33:42 AZT 2024","45790","tyt.tests","test_upload_and_download","TestUploadAndDownload","","","Test upload/down",""
"passed","Tue Sep 03 15:30:44 AZT 2024","Tue Sep 03 15:31:59 AZT 2024","74593","tyt.tests","test_link","TestLink","","","Click links",""
"passed","Mon Sep 02 12:15:49 AZT 2024","Mon Sep 02 12:16:35 AZT 2024","46078","tests","test_buttons","TestButtons","","","Click buttons",""
"passed","Mon Sep 02 12:17:35 AZT 2024","Mon Sep 02 12:18:22 AZT 2024","46932","tests","test_demo_qa_elements","TestInputData","","","Add user data",""
"passed","Mon Sep 02 12:19:17 AZT 2024","Mon Sep 02 12:20:03 AZT 2024","46473","tests","test_link","TestLink","","","Click links",""
"passed","Tue Sep 03 15:27:33 AZT 2024","Tue Sep 03 15:28:14 AZT 2024","41831","tyt.tests","test_buttons","TestButtons","","","Click buttons",""
"passed","Tue Sep 03 15:28:15 AZT 2024","Tue Sep 03 15:29:14 AZT 2024","58886","tyt.tests","test_check_box","TestCheckBox","","","Check box test",""
"passed","Tue Sep 03 15:33:43 AZT 2024","Tue Sep 03 15:34:40 AZT 2024","56951","tyt.tests","test_web_table","TestWebTable","","","Check web table",""
"passed","Mon Sep 02 12:20:08 AZT 2024","Mon Sep 02 12:20:56 AZT 2024","48409","tests","test_radio_button","TestRadioButton","","","Check radio button",""
"passed","Mon Sep 02 12:21:50 AZT 2024","Mon Sep 02 12:22:39 AZT 2024","48833","tests","test_web_table","TestWebTable","","","Check web table",""
"passed","Mon Sep 02 12:21:01 AZT 2024","Mon Sep 02 12:21:45 AZT 2024","44178","tests","test_upload_and_download","TestUploadAndDownload","","","Test upload/download",""
"passed","Tue Sep 03 15:25:19 AZT 2024","Tue Sep 03 15:27:30 AZT 2024","131331","tyt.tests","test_broken_links_images","TestBrokenLinksImages","","","Click links",""
"passed","Tue Sep 03 15:29:55 AZT 2024","Tue Sep 03 15:30:43 AZT 2024","48363","tyt.tests","test_dynamic_properties","TestDynamicProperties","","","Check dynamic properties buttons",""
"passed","Tue Sep 03 15:29:15 AZT 2024","Tue Sep 03 15:29:53 AZT 2024","37944","tyt.tests","test_demo_qa_elements","TestInputData","","","Add user data",""
